Duration,Activity,Revenue,Source
13,2,0,GoogleSearch
10.4,2,0,GoogleSearch
10.9,2,0,GoogleSearch
5.3,3,0,GoogleAdWord
50.4,6,22.3,Directlink
12.4,3,0,GoogleSearch
14.1,2,0,GoogleSearch
57.8,7,0,Directlink
11.4,2,0,GoogleSearch
10.9,1,0,GoogleSearch
65.5,5,23.3,Directlink
10.9,1,0,GoogleSearch
62.2,6,0,Directlink
6.9,2,0,GoogleSearch
7.3,2,0,GoogleSearch
56.2,5,0,Directlink
11.7,0,0,GoogleSearch
8.5,2,0,GoogleSearch
12.5,1,0,GoogleAdWord
11.3,3,0,GoogleSearch
10.8,2,0,GoogleSearch
83.2,8,32.9,Directlink
12,2,0,GoogleSearch
8.3,2,2.9,GoogleSearch
6.9,2,0,GoogleSearch
11,1,0,GoogleSearch
10.1,1,0,GoogleSearch
24.1,1,0,GoogleAdWord
8,3,3.9,GoogleSearch
11.5,4,0,GoogleSearch
7.7,2,0,GoogleSearch
9.2,3,0,GoogleSearch
8,2,0,GoogleSearch
15.3,3,0,GoogleSearch
9.5,0,0,GoogleSearch
10.6,2,0,GoogleSearch
1,0,0,GoogleAdWord
12.8,2,3.3,GoogleSearch
9,1,0,GoogleSearch
9.1,2,0,GoogleSearch
6.9,2,0,GoogleSearch
9,2,0,GoogleSearch
10.6,1,0,GoogleSearch
12.6,0,0,GoogleSearch
12.3,2,0,GoogleSearch
7.6,2,0,GoogleSearch
67.4,6,25.7,Directlink
11.2,1,0,GoogleSearch
7.7,3,0,GoogleSearch
10.1,2,0,GoogleSearch
86.6,9,9.7,GoogleSearch
62.2,8,0,Directlink
10.1,2,0,GoogleSearch
59.5,6,24.1,Directlink
5.6,2,2.6,GoogleSearch
45.4,6,0,Directlink
1,2,0,GoogleAdWord
10.5,3,0,GoogleSearch
1,0,0,GoogleAdWord
10.7,1,0,GoogleSearch
15.6,2,0,GoogleAdWord
36.2,4,15.5,Directlink
11.9,3,0,GoogleSearch
11.3,3,0,GoogleSearch
91.2,8,11.5,GoogleSearch
6.6,3,0,GoogleSearch
92.6,7,13.3,GoogleSearch
10.4,2,0,GoogleSearch
11.9,2,0,GoogleSearch
7.1,2,0,GoogleSearch
11.1,3,0,GoogleSearch
10.6,2,0,GoogleAdWord
10.6,3,0,GoogleSearch
98.3,6,16.5,GoogleSearch
47.7,4,0,Directlink
9,3,0,GoogleSearch
11.8,2,0,GoogleSearch
9.4,1,0,GoogleSearch
6.5,2,0,GoogleSearch
5.8,1,0,GoogleSearch
6.5,2,0,GoogleSearch
11.2,4,0,GoogleSearch
9.6,3,0,GoogleSearch
11.6,1,0,GoogleSearch
12.9,2,0,GoogleSearch
6.9,3,0,GoogleSearch
90.9,11,8.4,GoogleSearch
8.4,2,0,GoogleSearch
7.5,2,0,GoogleSearch
6.6,2,0,GoogleSearch
11.4,3,0,GoogleSearch
70.8,7,0,Directlink
8.9,1,0,GoogleSearch
25.4,0,0,GoogleAdWord
76.9,6,0,Directlink
7.3,2,0,GoogleSearch
8.3,3,0,GoogleSearch
5.4,0,0,GoogleAdWord
73.5,7,0,Directlink
11.6,3,0,GoogleSearch
6.1,2,0,GoogleAdWord
10.5,1,0,GoogleSearch
37.1,6,19.6,Directlink
5.4,1,0,GoogleSearch
10.1,1,0,GoogleSearch
9.8,2,0,GoogleSearch
12.1,0,0,GoogleSearch
9.7,1,0,GoogleSearch
11.9,2,0,GoogleSearch
10,3,0,GoogleSearch
75.3,8,31.3,Directlink
52.7,3,17.7,GoogleSearch
7.2,2,0,GoogleSearch
87.8,7,12.6,GoogleSearch
7.1,3,0,GoogleSearch
11.7,2,0,GoogleSearch
12.3,2,0,GoogleSearch
7.7,0,0,GoogleSearch
10.8,4,0,GoogleSearch
9.5,2,0,GoogleSearch
10.5,1,0,GoogleSearch
13.6,3,0,GoogleSearch
12.7,3,0,GoogleSearch
8.2,2,0,GoogleSearch
101.5,3,33.9,GoogleSearch
9.4,2,0,GoogleSearch
8.9,2,0,GoogleSearch
13.5,2,0,GoogleSearch
1,1,0,GoogleAdWord
10.3,3,0,GoogleSearch
11.2,2,0,GoogleSearch
10.8,1,0,GoogleSearch
64.4,9,7.3,GoogleSearch
12.1,4,0,GoogleSearch
1,3,0,GoogleAdWord
11,2,0,GoogleSearch
9,2,3,GoogleSearch
9.9,2,0,GoogleSearch
8,1,0,GoogleSearch
11.3,3,0,GoogleSearch
12.2,1,0,GoogleSearch
10.4,2,0,GoogleSearch
9.5,4,0,GoogleSearch
10,2,0,GoogleSearch
6.4,2,0,GoogleAdWord
8.1,0,0.9,GoogleSearch
8.9,1,0,GoogleSearch
12.3,2,0,GoogleSearch
8.5,1,0,GoogleSearch
8.3,1,0,GoogleSearch
78,12,6.6,GoogleSearch
11,2,0,GoogleSearch
14.6,2,3.5,GoogleSearch
9.6,3,0,GoogleSearch
7.9,3,0,GoogleSearch
7.3,1,0,GoogleSearch
97.2,4,27.6,Directlink
9.4,3,0,GoogleSearch
6.4,0,0,GoogleSearch
11.9,1,0,GoogleSearch
86.6,12,7.3,GoogleSearch
10,2,0,GoogleSearch
58.4,4,14.7,GoogleSearch
10.3,3,0,GoogleSearch
91.1,6,15.3,GoogleSearch
72.8,4,0,Directlink
8.3,3,0,GoogleSearch
28.3,1,0,GoogleAdWord
6.3,1,0,GoogleSearch
8.9,2,0,GoogleSearch
7.7,1,0,GoogleSearch
56.7,2,28.4,GoogleSearch
7.3,2,0,GoogleSearch
9.3,4,0,GoogleSearch
11.3,1,0,GoogleSearch
84.9,2,42.6,GoogleSearch
6.1,2,0,GoogleSearch
8.1,2,0,GoogleSearch
8.9,3,0,GoogleSearch
8.5,4,0,GoogleSearch
10.6,2,0,GoogleSearch
42.4,3,14.7,Directlink
9.4,4,0,GoogleSearch
11.1,2,0,GoogleSearch
11,1,0,GoogleSearch
12,2,0,GoogleSearch
10.5,2,0,GoogleSearch
9.8,2,0,GoogleSearch
8.1,2,0,GoogleSearch
2.7,3,0,GoogleAdWord
14.9,2,0,GoogleSearch
67.5,7,0,Directlink
8.2,1,0,GoogleSearch
79.2,16,5.1,GoogleSearch
49.3,5,0,Directlink
39,1,0,GoogleAdWord
7.2,3,0,GoogleSearch
83.8,2,21,Directlink
10.5,2,0,GoogleSearch
12.9,1,0,GoogleAdWord
53.4,4,0,Directlink
1,0,0,GoogleAdWord
11.4,2,0,GoogleSearch
1,3,0,GoogleAdWord
9.5,2,0,GoogleSearch
7.8,3,0,GoogleSearch
1,2,0,GoogleAdWord
11.8,1,2.2,GoogleSearch
10.3,3,4.1,GoogleSearch
11.7,2,0,GoogleSearch
8.8,2,0,GoogleSearch
104.2,8,13.1,GoogleSearch
7.6,1,0,GoogleSearch
80.3,4,24.3,Directlink
7.8,2,0,GoogleSearch
12,2,0,GoogleSearch
1,1,0,GoogleAdWord
11.4,3,0,GoogleSearch
8.5,2,0,GoogleSearch
11.7,1,0,GoogleSearch
9,2,0,GoogleSearch
7.9,2,0,GoogleSearch
9.9,1,0,GoogleSearch
12.7,3,0,GoogleSearch
8.7,3,0,GoogleSearch
9.8,3,0,GoogleSearch
13.7,1,0,GoogleSearch
1,2,0,GoogleAdWord
10.2,1,0,GoogleSearch
10.2,1,0,GoogleSearch
11.5,2,3.2,GoogleSearch
82,5,16.5,GoogleSearch
54.2,6,0,Directlink
10.2,1,0,GoogleAdWord
58.1,6,0,Directlink
11.7,1,0,GoogleSearch
59.8,10,32.2,Directlink
89.2,11,8.2,GoogleSearch
10.8,2,0,GoogleSearch
12.6,0,0,GoogleSearch
12.1,0,0,GoogleSearch
8.1,2,0,GoogleSearch
8.5,1,0,GoogleSearch
3.9,3,0,GoogleAdWord
12.1,2,0,GoogleAdWord
13.8,3,0,GoogleSearch
7.4,1,0,GoogleSearch
14.9,2,0,GoogleAdWord
11.7,3,0,GoogleSearch
11.8,2,0,GoogleSearch
6.9,2,0,GoogleSearch
60.4,6,0,Directlink
10.3,1,0,GoogleSearch
8.2,1,1.9,GoogleSearch
11.5,1,0,GoogleSearch
10.5,1,0,GoogleSearch
6.8,1,0,GoogleSearch
111.3,10,11.2,GoogleSearch
14.6,4,0,GoogleSearch
9.7,3,0,GoogleSearch
15.1,0,0,GoogleAdWord
10.1,4,0,GoogleSearch
8.7,1,0,GoogleSearch
7.1,1,0,GoogleSearch
95.9,10,9.7,GoogleSearch
11.2,1,0,GoogleSearch
7,4,0,GoogleSearch
13.4,2,0,GoogleSearch
10.6,3,4.1,GoogleSearch
9.3,2,0,GoogleSearch
8.9,0,0,GoogleSearch
9,2,0,GoogleSearch
11.8,2,0,GoogleSearch
9.1,2,0,GoogleSearch
13.2,2,0,GoogleSearch
68.7,3,23,GoogleSearch
7.8,0,0,GoogleSearch
11.4,0,0,GoogleSearch
63.6,12,5.4,GoogleSearch
12,1,0,GoogleSearch
11.1,1,0,GoogleSearch
9.3,1,0,GoogleSearch
8.6,1,0,GoogleSearch
12.8,3,0,GoogleSearch
10,4,0,GoogleSearch
10.1,2,0,GoogleSearch
9.1,4,0,GoogleSearch
10.6,1,0,GoogleSearch
74.6,5,25.1,Directlink
57.8,4,19.8,Directlink
89,10,9,GoogleSearch
10.5,3,0,GoogleSearch
65.2,8,29.3,Directlink
6.5,3,0,GoogleSearch
7.6,4,0,GoogleSearch
10.5,3,0,GoogleSearch
13.8,2,0,GoogleSearch
9.4,3,0,GoogleSearch
8.6,2,0,GoogleSearch
10.6,2,0,GoogleSearch
13.4,1,0,GoogleSearch
14.7,3,0,GoogleSearch
12.6,1,0,GoogleSearch
9.6,3,0,GoogleSearch
7.3,1,0,GoogleSearch
7.5,2,0,GoogleSearch
9.1,1,0,GoogleSearch
7.6,2,0,GoogleSearch
80.7,3,27,GoogleSearch
8.1,3,0,GoogleSearch
10.2,1,0,GoogleSearch
11.9,4,0,GoogleSearch
11.8,2,0,GoogleSearch
10,3,0,GoogleSearch
9.6,3,0,GoogleSearch
13.6,1,0,GoogleSearch
11,1,0,GoogleSearch
9.8,3,0,GoogleSearch
66.2,5,0,Directlink
10,1,0,GoogleSearch
10.4,0,0,GoogleSearch
58.1,7,0,Directlink
12.5,0,0,GoogleAdWord
9.2,1,2,GoogleSearch
11.4,3,0,GoogleSearch
15.2,1,0,GoogleSearch
40.1,5,18.2,Directlink
10.1,0,0,GoogleSearch
12,1,0,GoogleSearch
73.9,9,0,Directlink
8.2,0,0,GoogleSearch
13.4,2,0,GoogleSearch
9.5,1,0,GoogleSearch
9.2,2,0,GoogleSearch
72.6,6,26.7,Directlink
11.7,2,0,GoogleSearch
12.6,1,0,GoogleSearch
13,2,0,GoogleSearch
13.4,3,0,GoogleSearch
13.2,1,0,GoogleSearch
74.6,8,9.4,GoogleSearch
11.4,1,0,GoogleSearch
12.7,3,0,GoogleSearch
11.5,1,0,GoogleSearch
10.9,1,0,GoogleSearch
81.8,7,30.5,Directlink
7.1,3,0,GoogleSearch
11.6,3,0,GoogleSearch
6.5,4,0,GoogleSearch
8.7,1,0,GoogleSearch
6.4,1,1.7,GoogleSearch
9.9,2,0,GoogleSearch
13.2,2,0,GoogleSearch
38.2,4,0,Directlink
13.3,2,0,GoogleSearch
7,0,0,GoogleSearch
10.1,2,0,GoogleSearch
7.6,2,0,GoogleSearch
86.1,7,12.4,GoogleSearch
11.1,0,0,GoogleSearch
12.8,0,0,GoogleSearch
8.5,2,0,GoogleSearch
12.2,2,0,GoogleSearch
7.6,1,0,GoogleSearch
9.2,2,0,GoogleSearch
12.2,4,0,GoogleSearch
79.2,11,7.3,GoogleSearch
69.4,7,10,GoogleSearch
40.2,6,0,Directlink
12.6,2,0,GoogleSearch
45.1,8,25.2,Directlink
90.4,1,90.5,GoogleSearch
10.4,3,0,GoogleSearch
12,2,0,GoogleSearch
8,1,0,GoogleSearch
9.8,2,0,GoogleSearch
9.9,1,0,GoogleSearch
11.6,1,2.2,GoogleSearch
9.6,3,0,GoogleSearch
7.4,2,0,GoogleSearch
7.9,2,0,GoogleSearch
10,3,0,GoogleSearch
10.5,2,0,GoogleAdWord
26.5,1,0,GoogleAdWord
74.3,16,4.7,GoogleSearch
39.6,5,18.1,Directlink
11.3,3,0,GoogleSearch
7.9,3,0,GoogleSearch
10.2,1,0,GoogleSearch
1.6,0,0,GoogleAdWord
8.2,2,0,GoogleSearch
9.3,4,0,GoogleSearch
8.4,0,0,GoogleSearch
103.4,6,17.3,GoogleSearch
6.2,3,0,GoogleSearch
6.5,4,0,GoogleSearch
8.4,2,0,GoogleSearch
9,2,2.9,GoogleSearch
10.1,1,0,GoogleSearch
7.3,4,0,GoogleSearch
95.9,8,0,Directlink
6.8,3,0,GoogleSearch
13.6,3,0,GoogleSearch
14.1,0,0,GoogleSearch
11.5,1,0,GoogleSearch
12.5,1,0,GoogleSearch
12.4,2,0,GoogleSearch
9,2,2.9,GoogleSearch
55.8,11,5.2,GoogleSearch
11.8,4,0,GoogleSearch
10.3,3,0,GoogleSearch
12.6,2,0,GoogleSearch
76.3,10,7.7,GoogleSearch
12.7,1,0,GoogleSearch
10.6,3,0,GoogleSearch
11.1,2,0,GoogleSearch
8.7,3,0,GoogleSearch
6.4,0,0,GoogleSearch
8.7,1,0,GoogleSearch
11.2,2,0,GoogleSearch
13.3,1,0,GoogleSearch
8.5,1,0,GoogleSearch
36.4,1,0,GoogleAdWord
12.6,3,0,GoogleSearch
57.1,7,25.6,Directlink
1,1,2.1,GoogleAdWord
10,3,0,GoogleSearch
22.4,1,0,GoogleAdWord
8.9,2,0,GoogleSearch
12.9,4,0,GoogleSearch
78.9,7,30,Directlink
70.5,4,0,Directlink
11.3,4,0,GoogleSearch
1,1,0,GoogleAdWord
9.5,1,0,GoogleSearch
1,2,0,GoogleAdWord
9.7,1,0,GoogleSearch
12.3,1,0,GoogleSearch
8.7,1,2.5,GoogleAdWord
8.7,2,0,GoogleSearch
8.1,2,0,GoogleSearch
9.5,3,0,GoogleSearch
10.8,2,0,GoogleSearch
10.4,1,0,GoogleSearch
13,2,0,GoogleSearch
14.7,1,0,GoogleSearch
10,2,0,GoogleSearch
9.6,2,0,GoogleSearch
38.8,4,16,Directlink
9.5,1,0,GoogleSearch
11.7,2,0,GoogleSearch
82.7,1,82.8,GoogleSearch
7.3,0,0,GoogleSearch
10.2,4,0,GoogleSearch
7.7,0,0,GoogleSearch
6.9,3,0,GoogleSearch
11.1,1,0,GoogleSearch
1,1,0,GoogleAdWord
13.2,0,0,GoogleSearch
8.6,2,0,GoogleSearch
23.3,1,0,GoogleAdWord
45.2,1,0,Directlink
8,4,0,GoogleSearch
6.5,2,0,GoogleSearch
13.3,3,0,GoogleSearch
13.4,1,0,GoogleSearch
10.1,1,0,GoogleSearch
7.9,3,3.8,GoogleSearch
9.9,1,0,GoogleSearch
10.1,1,0,GoogleSearch
8.1,2,0,GoogleSearch
11.5,4,0,GoogleSearch
66.7,13,39.6,Directlink
62.6,6,24.7,Directlink
53.6,2,26.9,GoogleSearch
7,3,0,GoogleSearch
11.4,1,0,GoogleSearch
11.6,2,0,GoogleSearch
12.7,0,0,GoogleSearch
8.2,3,0,GoogleSearch
9.3,3,0,GoogleAdWord
14.1,1,0,GoogleSearch
9.6,2,0,GoogleSearch
8,2,0,GoogleSearch
70.8,7,28.4,Directlink
9,2,0,GoogleSearch
6.8,1,0,GoogleSearch
10.1,2,0,GoogleSearch
12.8,1,2.3,GoogleSearch
9.9,1,0,GoogleSearch
8.4,4,0,GoogleSearch
10.1,0,0,GoogleSearch
11,2,0,GoogleSearch
6.6,1,0,GoogleSearch
9.8,2,0,GoogleSearch
9,0,0,GoogleSearch
8,1,0,GoogleSearch
54.9,6,0,Directlink
44.8,6,21.2,Directlink
10.5,1,0,GoogleSearch
74.3,12,6.3,GoogleSearch
7.8,2,0,GoogleSearch
5.6,0,0,GoogleSearch
12.5,3,0,GoogleSearch
6.2,2,0,GoogleSearch
6.4,1,0,GoogleAdWord
9,1,0,GoogleSearch
12.3,2,0,GoogleSearch
11.1,3,0,GoogleSearch
11.5,2,0,GoogleSearch
11,1,0,GoogleSearch
11.8,4,0,GoogleSearch
11.2,0,0,GoogleSearch
7.1,2,0,GoogleSearch
10.3,2,0,GoogleSearch
1.5,2,0,GoogleAdWord
4.8,1,0,GoogleAdWord
4.5,0,0,GoogleAdWord
10.9,3,0,GoogleSearch
11.4,2,0,GoogleSearch
25.6,3,0,GoogleAdWord
11.1,1,0,GoogleSearch
12.4,3,0,GoogleSearch
12.2,2,0,GoogleSearch
10.6,1,0,GoogleSearch
8.4,2,0,GoogleSearch
11.2,4,0,GoogleSearch
26.1,2,0,GoogleAdWord
8.2,2,0,GoogleSearch
10.8,2,0,GoogleSearch
1,1,0,GoogleAdWord
13.1,1,0,GoogleSearch
12.4,1,0,GoogleSearch
11.5,2,0,GoogleSearch
10,2,0,GoogleSearch
9.1,1,0,GoogleSearch
9.4,2,0,GoogleSearch
71.7,4,18,GoogleSearch
7,0,0,GoogleSearch
13.2,3,0,GoogleSearch
9.5,3,0,GoogleSearch
65.7,7,0,Directlink
8.4,4,0,GoogleSearch
7.4,2,2.8,GoogleSearch
10.5,3,0,GoogleSearch
11.4,2,3.2,GoogleSearch
8.8,5,0,GoogleSearch
6.2,1,0,GoogleSearch
6.8,2,0,GoogleSearch
9.9,1,0,GoogleSearch
9.5,1,0,GoogleSearch
5.5,0,0,GoogleSearch
7.9,2,0,GoogleSearch
73.9,3,24.7,GoogleSearch
23.9,3,0,GoogleAdWord
12.6,2,0,GoogleSearch
47.7,10,4.9,GoogleSearch
12,4,0,GoogleSearch
9.7,1,0,GoogleSearch
76.1,3,0,Directlink
9.9,2,0,GoogleSearch
59.2,4,0,Directlink
11.2,1,0,GoogleSearch
11.1,3,0,GoogleSearch
12.2,2,0,GoogleSearch
12.6,2,0,GoogleSearch
10.6,1,0,GoogleSearch
12.7,3,0,GoogleSearch
5.9,2,0,GoogleSearch
4.9,2,0,GoogleAdWord
29.2,0,0,GoogleAdWord
10.2,3,0,GoogleSearch
1,2,0,GoogleAdWord
11.5,0,0,GoogleSearch
9.1,2,0,GoogleSearch
8.7,2,0,GoogleSearch
9.3,0,0,GoogleSearch
12,3,0,GoogleSearch
11.5,3,0,GoogleSearch
8.4,1,0,GoogleSearch
7.7,1,1.8,GoogleSearch
61.2,14,4.5,GoogleSearch
12.2,2,0,GoogleSearch
10.7,1,0,GoogleSearch
9.5,2,0,GoogleSearch
9.9,5,0,GoogleSearch
6.7,1,0,GoogleSearch
6,1,0,GoogleSearch
19.3,0,0,GoogleAdWord
54.4,9,29.1,Directlink
13.2,2,0,GoogleSearch
12.5,0,0,GoogleSearch
9.4,3,0,GoogleSearch
8.6,3,0,GoogleSearch
9.7,2,0,GoogleSearch
78.1,13,6.1,GoogleSearch
7.6,4,0,GoogleSearch
11.1,2,0,GoogleSearch
11.3,3,0,GoogleSearch
6.2,2,0,GoogleSearch
11.5,2,0,GoogleSearch
9.5,3,0,GoogleSearch
10.3,3,0,GoogleSearch
56.6,7,0,Directlink
9,2,0,GoogleSearch
11.1,2,3.2,GoogleSearch
54.5,5,21.1,Directlink
5.8,1,0,GoogleSearch
1,1,0,GoogleAdWord
6.9,1,0,GoogleSearch
11.3,2,0,GoogleSearch
14.2,1,0,GoogleAdWord
7.7,1,0,GoogleSearch
8.2,2,0,GoogleSearch
8.8,1,0,GoogleAdWord
11.5,2,0,GoogleSearch
13.3,1,0,GoogleSearch
68.3,19,3.7,GoogleSearch
8.9,4,0,GoogleSearch
8.2,1,0,GoogleSearch
5.7,2,0,GoogleSearch
9.2,3,0,GoogleSearch
10.1,1,0,GoogleSearch
9.9,4,0,GoogleSearch
8.5,4,0,GoogleSearch
79.6,7,11.5,GoogleSearch
78.9,3,22,Directlink
10.2,2,0,GoogleSearch
9.8,3,0,GoogleSearch
8.8,3,0,GoogleSearch
47.3,6,21.7,Directlink
10,1,0,GoogleSearch
10.4,1,0,GoogleSearch
7.4,1,2.4,GoogleAdWord
7.3,3,0,GoogleSearch
9.8,3,4,GoogleSearch
7.9,1,0,GoogleSearch
51.2,1,0,Directlink
1,1,0,GoogleAdWord
63.7,3,18.9,Directlink
10.9,3,0,GoogleSearch
10,2,0,GoogleSearch
6.7,3,0,GoogleSearch
21.9,1,0,GoogleAdWord
13.5,2,0,GoogleSearch
10.3,1,0,GoogleSearch
10,1,0,GoogleSearch
11.1,3,0,GoogleSearch
11.3,1,0,GoogleSearch
9.2,1,0,GoogleSearch
96.9,5,19.5,GoogleSearch
11.6,2,0,GoogleSearch
13.2,2,0,GoogleSearch
7.5,2,0,GoogleSearch
8.6,2,0,GoogleSearch
7.7,1,0,GoogleSearch
10.9,1,0,GoogleSearch
43.8,4,17,Directlink
30.2,2,0,GoogleAdWord
76.2,6,12.8,GoogleSearch
10.4,0,0,GoogleSearch
65.1,7,27.2,Directlink
76.8,18,4.4,GoogleSearch
11.1,2,0,GoogleSearch
1,1,0,GoogleAdWord
123.6,1,123.7,GoogleSearch
11.6,3,0,GoogleSearch
14,1,0,GoogleSearch
61.9,3,18.6,Directlink
8.9,2,0,GoogleSearch
6.1,2,0,GoogleSearch
9.3,2,0,GoogleSearch
11.8,3,0,GoogleSearch
9.3,2,0,GoogleSearch
63.3,6,0,Directlink
6.8,1,0,GoogleSearch
1,0,0,GoogleAdWord
10.4,2,0,GoogleSearch
2.5,1,0,GoogleAdWord
8.8,2,0,GoogleSearch
1,1,0,GoogleAdWord
9.1,4,0,GoogleSearch
12.4,3,0,GoogleSearch
11.6,2,0,GoogleSearch
11.5,4,0,GoogleSearch
8.6,4,0,GoogleSearch
76.2,20,3.9,GoogleSearch
9.9,1,0,GoogleSearch
86.2,6,29.4,Directlink
7.3,1,0,GoogleSearch
12.4,3,0,GoogleSearch
11.5,4,0,GoogleSearch
8.4,2,0,GoogleSearch
21,2,5.1,GoogleAdWord
9.8,3,0,GoogleSearch
11.6,1,0,GoogleSearch
8.9,3,0,GoogleSearch
1,2,0,GoogleAdWord
99.2,13,7.7,GoogleSearch
19,0,0,GoogleAdWord
22,2,0,GoogleAdWord
14.5,2,0,GoogleSearch
9.7,2,0,GoogleSearch
7.6,1,0,GoogleSearch
10.2,1,0,GoogleSearch
9.1,1,0,GoogleSearch
18.9,1,0,GoogleAdWord
11.7,1,0,GoogleSearch
11.7,3,0,GoogleSearch
5.9,2,0,GoogleSearch
10,1,0,GoogleSearch
9.4,1,0,GoogleSearch
11.2,0,0,GoogleSearch
10.2,2,0,GoogleSearch
12.2,3,0,GoogleSearch
10.9,2,0,GoogleSearch
9.3,1,0,GoogleSearch
8,2,0,GoogleSearch
6.3,0,0,GoogleAdWord
10.3,3,0,GoogleSearch
9.2,3,0,GoogleSearch
12.8,2,0,GoogleSearch
9,2,0,GoogleSearch
9.5,3,0,GoogleSearch
0,0,0,GoogleAdWord
9.7,0,0,GoogleSearch
12.3,3,0,GoogleSearch
76.7,7,11,GoogleSearch
65.5,7,27.3,Directlink
7.2,2,0,GoogleSearch
89.1,6,14.9,GoogleSearch
10,3,0,GoogleSearch
10.6,2,3.1,GoogleSearch
11.7,3,0,GoogleSearch
11.9,4,5.2,GoogleSearch
9.6,2,0,GoogleSearch
59,5,0,Directlink
8.5,1,0,GoogleSearch
13.5,3,4.4,GoogleSearch
7.5,3,0,GoogleSearch
11,4,0,GoogleSearch
1,1,0,GoogleAdWord
88.3,5,0,Directlink
50.8,5,20.3,Directlink
42,4,16.6,Directlink
63.9,4,0,Directlink
9.4,2,0,GoogleSearch
12.7,1,0,GoogleSearch
68.6,11,6.3,GoogleSearch
11.8,3,0,GoogleSearch
7.9,4,0,GoogleSearch
7.4,0,0,GoogleSearch
73.6,7,28.9,Directlink
41.1,1,0,GoogleAdWord
8.6,1,0,GoogleSearch
11.4,1,2.6,GoogleAdWord
8.7,0,0,GoogleSearch
11,2,0,GoogleSearch
11.1,2,0,GoogleSearch
9.2,1,0,GoogleSearch
8.7,0,0,GoogleSearch
4.6,2,0,GoogleSearch
11.3,2,0,GoogleAdWord
41.8,5,0,Directlink
9.4,1,0,GoogleSearch
9.1,1,0,GoogleSearch
11.9,2,3.2,GoogleSearch
9.7,1,0,GoogleSearch
11.9,3,0,GoogleSearch
52.5,10,30.7,Directlink
88.7,2,44.4,GoogleSearch
11.7,2,0,GoogleSearch
13.1,2,0,GoogleSearch
10.6,2,0,GoogleSearch
9.2,1,0,GoogleSearch
7.9,2,0,GoogleSearch
9.7,2,0,GoogleSearch
74.2,4,18.6,GoogleSearch
33.2,5,16.8,Directlink
10.3,4,0,GoogleSearch
64.2,16,4.1,GoogleSearch
10.6,3,0,GoogleSearch
8.5,1,1.9,GoogleSearch
9.1,2,0,GoogleSearch
10,3,0,GoogleSearch
9.9,3,0,GoogleSearch
1,0,0,GoogleAdWord
11.2,1,0,GoogleSearch
