STUDENTID,SCORE,GRADE,ASKS_QUESTIONS,LEAVES_EARLY,PARTICIPATION
16424,9.71,F,always,rarely,0.05
18966,73.27,A,never,rarely,0.85
31303,13.25,F,never,always,0.21
33972,47.39,D,always,never,0.27
68425,57.91,C,always,rarely,0.37
67226,6.79,F,sometimes,rarely,0.08
92967,59.39,B,always,always,0.68
43209,84.65,A,sometimes,always,0.23
98444,74.12,A,never,rarely,0.62
53026,69.82,B,always,never,0.38
46517,65.99,A,always,always,0.92
13103,39.45,D,never,rarely,0.09
11241,40.27,D,always,rarely,0.89
48451,38.28,D,never,always,0.64
29716,3.53,F,sometimes,always,0.57
86108,59.99,C,sometimes,always,0.36
69172,69.71,B,never,never,0.56
33366,28.81,F,never,always,0.22
87433,8.19,F,sometimes,always,0.37
18935,19.59,F,never,never,0.75
98766,49.46,D,sometimes,always,0.08
58837,70.31,B,sometimes,rarely,0.12
96341,44.18,D,never,never,0.54
95137,49.67,C,always,never,0.98
88560,88.03,A,never,always,0.8
72371,21.13,F,never,always,0.68
88217,54.71,C,sometimes,always,0.56
90135,6.41,F,always,rarely,0.24
61825,92.47,A,always,always,0.67
43858,65.09,B,never,never,0.8
11104,90.96,A,sometimes,always,0.15
42808,56.62,C,always,always,0.59
37761,24.21,D,sometimes,never,0.98
80380,49.67,C,never,always,0.93
28411,22.64,F,sometimes,always,0.39
37748,59.85,C,always,always,0
59767,42.37,D,sometimes,never,0.67
23141,74.71,A,sometimes,rarely,0.85
82620,66.71,C,never,never,0.28
44865,21.95,F,never,rarely,0.74
50993,20.56,F,sometimes,rarely,0.69
62288,59.32,C,sometimes,rarely,0.47
19917,31.8,F,sometimes,always,0.26
74098,66.69,C,never,always,0.27
65791,5.08,F,sometimes,never,0.14
75762,25.87,F,sometimes,always,0.44
18002,42.66,D,never,never,0.39
98155,39.7,D,always,always,0.62
48900,12.77,F,always,always,0.66
72778,74.06,A,sometimes,never,0.79
14348,16.45,F,never,never,0.87
46754,89.06,A,never,never,0.45
69054,23.04,F,always,never,0.26
21510,25.46,F,never,never,0.04
75307,18.53,F,sometimes,never,0.16
68504,69.89,B,never,always,0.2
60218,7.99,F,sometimes,rarely,0.22
47162,63.58,C,always,never,0.25
14078,30.42,F,sometimes,rarely,0.26
92799,83.8,A,always,always,0.77
39247,5.5,F,sometimes,always,0.51
89124,45.72,D,always,never,0.26
51898,44.03,D,never,always,0.47
21432,76.49,B,never,never,0.1
21556,15.68,F,always,never,0.48
26323,67.9,C,never,never,0.3
17503,84.23,A,always,rarely,0.02
99832,61.42,C,sometimes,rarely,0.39
21901,7.18,F,sometimes,always,0.01
50605,87.39,A,never,never,0.78
13937,12.83,F,always,rarely,0.69
19941,24.12,D,never,never,0.97
59885,98.79,A,sometimes,rarely,0.33
81568,83.02,A,sometimes,rarely,0.11
81517,16.32,F,never,never,0.84
60642,87.77,A,sometimes,always,0.09
72448,86.57,A,sometimes,always,0.61
42153,17.49,F,never,always,0.5
67918,82.78,A,always,rarely,0.24
61282,58.74,B,never,rarely,0.99
38579,62.69,B,never,never,0.79
19644,74.23,B,sometimes,rarely,0.09
61904,15.19,F,sometimes,always,0.11
25305,40.03,D,always,never,0.46
69741,63.66,B,always,rarely,0.73
28641,54.96,C,always,rarely,0.45
32314,70.93,B,never,rarely,0.7
61801,91.44,A,never,never,0.75
15811,85.99,A,sometimes,never,0.74
57597,61.78,C,sometimes,always,0.44
13177,69.08,B,sometimes,always,0.05
56256,66.82,B,never,always,0.02
25023,64.84,B,always,never,0.52
51894,61.69,C,never,never,0.19
83710,56.47,C,always,never,0.43
76950,67.28,B,sometimes,never,0.51
14900,15.63,F,never,rarely,0.25
92483,61.26,B,always,rarely,0.9
30809,88.14,A,always,rarely,0.58
74287,50.54,D,always,rarely,0.43
60173,33.24,D,always,always,0.74
14386,49.15,C,never,always,0.69
52359,29.13,D,never,always,0.53
19321,60.51,B,never,never,0.84
62099,62.42,B,never,always,0.96
82683,45.01,C,sometimes,always,0.99
45812,42.67,C,never,rarely,0.76
99902,65.95,B,always,rarely,0.09
46991,59.76,B,always,always,0.64
49721,62.32,B,always,always,0.95
33978,83.05,A,sometimes,never,0.54
69573,29.15,D,never,rarely,0.99
60094,40.82,D,sometimes,rarely,0.85
67440,12.33,F,always,always,0.46
86984,90.86,A,never,rarely,0.41
52985,47.61,C,always,rarely,0.91
46489,50.94,C,sometimes,never,0.71
95765,89.15,A,never,never,0.28
23790,90,A,never,never,0.74
26698,73.44,B,sometimes,always,0.33
21451,79.22,A,always,never,0.85
56087,8.04,F,never,never,0.98
88696,50.84,D,always,rarely,0.11
50584,23.86,D,never,never,0.73
71159,79.07,B,never,never,0.38
12688,94.01,A,never,rarely,0.2
67875,57.07,C,sometimes,rarely,0.16
41402,58.01,B,never,never,0.85
56638,38.77,D,never,always,0.97
38868,80.65,A,always,rarely,0.45
73108,14.35,F,sometimes,always,0.13
56945,31,D,never,always,0.09
25123,78,B,always,never,0.31
75579,33.15,D,sometimes,always,0.64
15273,46.78,D,sometimes,always,0.07
64911,38.9,D,always,always,0.5
81917,49.52,C,always,never,0.86
50379,72.23,B,sometimes,always,0.17
77517,85.13,A,always,never,0.12
27634,3.48,F,never,rarely,0.53
28894,59.46,C,never,rarely,0.03
39716,63.88,B,sometimes,never,0.61
44320,62.01,C,sometimes,rarely,0.13
20443,28.91,F,always,rarely,0.11
26433,51.63,C,never,never,0.55
38167,66.05,C,never,never,0.21
29292,13.12,F,sometimes,always,0.73
55862,56.15,C,never,rarely,0.71
23986,7.53,F,always,always,0.2
15300,75.39,B,always,always,0.12
99588,80.96,B,sometimes,never,0.27
30100,73.28,A,sometimes,never,0.88
35086,38,D,never,never,0.71
21346,52.32,C,always,never,0.68
34291,46.86,C,sometimes,never,0.69
75420,33.67,D,sometimes,always,0.74
17846,61.82,B,sometimes,never,0.93
88264,62.86,C,never,never,0.36
11331,16.38,F,sometimes,always,0.77
73436,72.74,B,always,rarely,0.25
40233,66.27,B,always,always,0.8
50590,41.65,D,never,never,0.07
38495,59.64,C,sometimes,always,0.33
89280,60.65,B,sometimes,rarely,0.89
57008,93.22,A,always,never,0.56
26340,26.98,D,sometimes,never,0.78
59609,42.56,D,sometimes,never,0.21
87300,27.24,F,sometimes,always,0.27
97897,83.62,A,never,rarely,0.08
36144,20.22,F,sometimes,rarely,0.54
79146,18.18,F,never,always,0.76
14161,19.82,F,never,always,0.52
33572,64.98,C,sometimes,never,0.4
59182,36.62,D,always,rarely,0.06
36158,32.59,F,sometimes,always,0.3
37471,46.33,C,always,never,0.65
46945,2.11,F,sometimes,rarely,0.23
37432,44.72,D,sometimes,always,0.33
94149,91.49,A,always,never,0.29
16948,60.98,B,always,always,0.84
17225,77.78,A,always,rarely,0.16
47846,91.72,A,sometimes,never,0.67
57522,21.59,D,always,always,0.93
41533,93.67,A,never,rarely,0.04
98564,47.53,D,always,rarely,0.1
42856,47.18,C,sometimes,always,0.53
33598,79.07,A,always,never,0.21
25453,70.9,B,sometimes,rarely,0.79
18440,13.41,F,never,rarely,0.33
30745,86.13,A,sometimes,never,0.71
66399,8.56,F,sometimes,always,0.4
92666,88.25,A,never,never,0.28
88867,56.57,C,always,always,0.46
23571,7.82,F,always,never,0.32
55223,44.6,D,never,rarely,0.11
23006,50.85,D,never,always,0.33
18693,61.75,B,never,never,0.64
89106,52.57,C,sometimes,rarely,0.52
97225,36.07,D,never,always,0.6
81564,51.99,C,sometimes,always,0.64
88708,60.96,C,never,rarely,0.5
55970,15.5,F,never,never,0.24
66698,39.99,D,never,always,0.07
33842,85.61,A,sometimes,rarely,0.04
45407,62.49,B,sometimes,rarely,0.68
38973,55.7,C,sometimes,always,0.78
58998,68.79,B,never,never,0.09
80243,75.54,B,never,never,0.09
23252,66.59,B,never,always,0.15
17284,27.79,F,never,rarely,0.28
46734,79.71,A,always,always,0.69
61253,29.88,D,always,always,0.87
31456,11.19,F,sometimes,always,0.71
72516,42.27,D,sometimes,always,0.67
86861,61.13,B,always,never,0.61
15447,87.85,A,never,never,0.51
28424,39.28,D,sometimes,rarely,0.22
83198,72.52,A,always,always,0.95
53705,56.42,C,never,rarely,0.83
53409,32.3,D,never,rarely,0.85
98950,79.97,A,sometimes,never,0.82
77512,63.15,B,sometimes,rarely,0.62
20301,60.38,C,sometimes,always,0.05
74891,58.78,B,sometimes,never,0.98
34455,61.92,C,sometimes,always,0.09
60859,62.36,C,sometimes,rarely,0.17
10992,65.19,C,sometimes,always,0.27
18360,90.35,A,always,rarely,0.34
84984,22.63,F,never,never,0.7
65139,68.56,B,never,always,0.1
51737,20.86,F,never,rarely,0.47
70345,32.83,D,sometimes,never,0.86
13148,24.89,D,sometimes,rarely,0.87
32521,24.43,F,sometimes,never,0.1
46863,46.22,D,never,always,0.12
17929,86.62,A,never,always,0.94
66928,10.87,F,never,rarely,0.07
41642,9.67,F,never,always,0.63
89325,13.02,F,sometimes,never,0.23
54871,86.61,A,always,never,0.29
88874,55.63,C,always,always,0.07
51491,24.46,D,always,never,0.79
97534,46.17,D,never,rarely,0.04
85359,52.91,C,always,never,0.98
97288,52.96,C,sometimes,never,0.59
42698,61.03,B,always,always,0.92
33466,66.42,B,sometimes,rarely,0.02
76380,49.44,D,never,always,0.47
49182,69.22,B,sometimes,rarely,0.97
54703,84.47,A,sometimes,always,0.12
12147,75.23,A,always,always,0.9
23926,20.56,F,sometimes,never,0.2
49548,38.06,D,always,rarely,0.78
52048,95.76,A,always,always,0.35
59563,43.26,C,sometimes,never,0.68
12424,53.15,C,never,always,0.09
86536,60.05,B,sometimes,never,0.91
97404,63.31,B,never,rarely,0.73
21388,58.83,B,sometimes,always,0.8
25918,98.81,A,never,rarely,0.53
91229,9.84,F,sometimes,rarely,0.22
10864,4.98,F,sometimes,always,0.8
29873,40.87,D,never,rarely,0.38
39389,58.44,C,never,always,0.35
47249,8.62,F,always,never,0.57
65052,67.9,A,always,never,0.88
57927,37.73,D,never,rarely,0.53
95842,68.25,C,always,always,0.37
82435,67.25,B,always,always,0.74
17780,54.31,C,always,never,0.63
